codigomuestra,parcela,usuariohab,fechacreacionhab,fechaenviohab,idodkhabitat,horainicio,horafinal,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,actividadpersonas,actividadcebo1,actividadcebo2,actividadcebo3,actividadcebo4,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,idparentaltiposdecebo,tiposdecebo,idparentalcebosbajo,cebosbajo,idparentalcebossobre,cebossobre,idparentalcebosotrosele,cebosotrosele
20192210B11,p126,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-22 15:42:28.904,2019-10-22 15:42:28.897,uuid:a3af6162-afaa-4508-be4f-de5839336310,11.00 am,11.41 am,-69.9201483333,18.4604383333,19.0000000000,2.0999999046,Parqueo Aula Magna,0,0,1a5,6a9,0,0,0,0,2019-10-22 00:00:00,NULL,"Cero hormigas, no fueron al cebo, pero en la misma parcela encontre algunas y las recolecte.","Framboyan, palma, flores",uuid:a3af6162-afaa-4508-be4f-de5839336310,bacs,uuid:a3af6162-afaa-4508-be4f-de5839336310,azucar,uuid:a3af6162-afaa-4508-be4f-de5839336310,despejado,uuid:a3af6162-afaa-4508-be4f-de5839336310,cemento_pavimento,uuid:a3af6162-afaa-4508-be4f-de5839336310,no_aplica
H20191012m3,p86,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17 23:21:10.251,2019-10-17 23:21:10.244,uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,12.45 pm,1.33 pm,-69.9202175438,18.4613927748,0.0000000000,0.0000000000,Detras Ed. Economía,10omas,0,6a9,0,0,1a5,6a9,0,2019-10-12 00:00:00,NULL,"Brachymyrmex debajo cebos. Dorymyrmex solo en 3 cebos, linea mas proxima a sombra de arboles lejanos.",NULL,uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,"mlt,jdmp",uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,"atun_tuna,aceite",uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,despejado,uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,hierba,uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,no_aplica
20191013M04,p24,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-13 23:13:27.156,2019-10-13 23:13:27.152,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,3.03 pm,5.57 pm,-69.9162237600,18.4637179200,2.6891174316,3.2160000801,Humanidades,1a5,0,1a5,0,10omas,10omas,10omas,10omas,2019-10-13 00:00:00,NULL,NULL,Almendra,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,emdr,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,atun_tuna,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,dosel,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,no_aplica,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,"hojarasca,rocas"
20191012M02,p16,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-13 23:13:21.657,2019-10-13 23:13:21.651,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,10.28 am,11.38 am,-69.9150342900,18.4640585400,-17.5759582520,3.2160000801,Area del play,10omas,no_aplica,1a5,1a5,1a5,10omas,0,1a5,2019-10-12 00:00:00,NULL,NULL,"Mango, coco",uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,emdr,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,atun_tuna,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,despejado,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,hierba,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,no_aplica
H20191013m10,p122,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17 23:21:00.126,2019-10-17 23:21:00.122,uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,10.15 am,10.56 am,-69.9219455000,18.4605355100,-21.0000000000,4.5509996414,Detras Torre Adm - Q122,10omas,0,1a5,0,1a5,6a9,6a9,0,2019-10-13 00:00:00,NULL,NULL,"Cesped, y arbustos borde.",uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,"mlt,jdmp",uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,"atun_tuna,aceite",uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,despejado,uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,hierba,uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,no_aplica
20191014B9,p78,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-14 21:35:54.736,2019-10-14 21:35:54.726,uuid:00923795-f035-4fbe-b309-b263fd110e0a,3.17 pm,4.10 pm,-69.9155500000,18.4618216667,23.6000000000,1.7999999523,Calle de Ingenieria y Medicina,1a5,0,1a5,6a9,0,1a5,0,1a5,2019-10-14 00:00:00,NULL,NULL,"Framboyan, caoba",uuid:00923795-f035-4fbe-b309-b263fd110e0a,bacs,uuid:00923795-f035-4fbe-b309-b263fd110e0a,atun_tuna,uuid:00923795-f035-4fbe-b309-b263fd110e0a,despejado,uuid:00923795-f035-4fbe-b309-b263fd110e0a,cemento_pavimento,uuid:00923795-f035-4fbe-b309-b263fd110e0a,basura_restos_comida
H20191013m11,p135,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15 18:07:32.89,2019-10-15 18:07:32.884,uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,1.17 pm,2.10 pm,-69.9153785035,18.4603159493,0.0000000000,0.0000000000,Frente a registro,6a9,0,1a5,0,0,6a9,10omas,10omas,2019-10-13 00:00:00,NULL,Una parte del suelo fue removido recientemente.,NULL,uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,jdmp,uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,"atun_tuna,aceite",uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,dosel,uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,"hierba,suelo_tierra",uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,"hojarasca,ramas_troncos"
H20191012m8,p41,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15 15:42:25.468,2019-10-15 15:42:25.464,uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,4.46 pm,5.31 pm,-69.9136985000,18.4630539000,-20.0000000000,6.0679998398,Play frente a bienestar estudiantil,10omas,0,1a5,6a9,6a9,6a9,1a5,10omas,2019-10-12 00:00:00,NULL,Tierra muy dura.,NULL,uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,"jdmp,mlt",uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,"atun_tuna,aceite",uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,despejado,uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,hierba,uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,no_aplica
H20191012m9,p158,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15 15:42:28.254,2019-10-15 15:42:28.247,uuid:66ecfb29-74a7-4a43-8825-dfa961205edd,5.59 pm,6.57 pm,-69.9204283300,18.4597435000,-36.0000000000,13.6529998779,NULL,10omas,0,1a5,1a5,1a5,10omas,10omas,6a9,2019-10-12 00:00:00,NULL,NULL,NULL,uuid:66ecfb29-74a7-4a43-8825-dfa961205edd,"mlt,jdmp",uuid:66ecfb29-74a7-4a43-8825-dfa961205edd,"atun_tuna,aceite",uuid:66ecfb29-74a7-4a43-8825-dfa961205edd,despejado,uuid:66ecfb29-74a7-4a43-8825-dfa961205edd,hierba,uuid:66ecfb29-74a7-4a43-8825-dfa961205edd,no_aplica
20191012B7,p39,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-14 17:40:09.938,2019-10-14 17:40:09.933,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,1.30 pm,2.15 pm,-69.9144283333,18.4632383333,10.3000000000,1.7000000477,Play,1a5,0,10omas,0,1a5,0,1a5,0,2019-10-12 00:00:00,NULL,NULL,NULL,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,bacs,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,atun_tuna,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,despejado,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,"suelo_tierra,hierba",uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,basura_restos_comida
20191014M07,p97,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-15 16:20:02.889,2019-10-15 16:20:02.885,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,3.40 pm,4.51 pm,-69.9151722800,18.4614587500,-24.2993469238,3.2160000801,Medicina,1a5,0,1a5,no_aplica,10omas,10omas,6a9,10omas,2019-10-14 00:00:00,NULL,"3 personas pasaron por el area de la muestra, en los alrededores habia unas 20 personas","Pino, framboyan",uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,emdr,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,atun_tuna,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,dosel,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,hierba,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,hojarasca
H20190914m1,p148,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17 23:21:09.716,2019-10-17 23:21:09.712,uuid:404a16ec-addb-4759-baa0-c12e3576f31d,4.55 pm,5.32 pm,-69.9179728702,18.4598923409,0.0000000000,0.0000000000,Parqueo Prof. Detrás Economato,10omas,0,1a5,6a9,0,0,1a5,0,2019-09-14 00:00:00,Juda Martínez,"Se observaron aprox. 15 hormigas en total, de las cuales 8 fueron capturadas.","No. Ornamentales al borde (mas de 1 m en un extremo, con muros de cemento).",uuid:404a16ec-addb-4759-baa0-c12e3576f31d,"mlt,otras",uuid:404a16ec-addb-4759-baa0-c12e3576f31d,"atun_tuna,aceite",uuid:404a16ec-addb-4759-baa0-c12e3576f31d,despejado,uuid:404a16ec-addb-4759-baa0-c12e3576f31d,cemento_pavimento,uuid:404a16ec-addb-4759-baa0-c12e3576f31d,no_aplica
20191012M03,p40,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-13 23:13:24.245,2019-10-13 23:13:24.239,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,12.06 pm,12.57 pm,-69.9141955100,18.4633050200,-13.9492492676,3.2160000801,Area del play,6a9,0,1a5,0,0,0,10omas,0,2019-10-12 00:00:00,NULL,"Solo 3 de las 16 tenía hormigas, pero estas tenian gran cantidad.",NULL,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,emdr,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,atun_tuna,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,despejado,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,hierba,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,basura_restos_comida
20191025M09,p42,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31 17:06:54.56,2019-10-31 17:06:54.556,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,10.14 am,11.32 am,-69.9193265200,18.4630242100,-3.1176452637,3.2160000801,Embajadas de arte,10omas,0,6a9,0,10omas,10omas,10omas,10omas,2019-10-25 00:00:00,NULL,NULL,NULL,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,emdr,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,atun_tuna,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,despejado,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,"hierba,suelo_tierra",uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,"hojarasca,ramas_troncos,rocas,basura_restos_comida"
