codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores
m1p1,p25,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-10 19:16:34.739,2019-09-10 19:16:34.731,uuid:279de330-298f-4054-94fa-43b255779a1c,8.30 am,-69.9167098012,18.4597361321,-18.0000000000,9.0000000000,UASD,10omas,10omas,10omas,2019-09-10 00:00:00,NULL,Probando,Na,uuid:279de330-298f-4054-94fa-43b255779a1c,kmfg
p1m1,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-12 14:13:19.157,2019-09-12 14:13:19.148,uuid:c9a4d848-ee83-44d2-a91f-88bbfdc8a749,10.07 am,-69.8201186000,18.5131405000,0.0000000000,40.5000000000,Área del play,1a5,6a9,6a9,2019-09-14 00:00:00,NULL,Formulario de ejemplo,Palma real,uuid:c9a4d848-ee83-44d2-a91f-88bbfdc8a749,eagv
p1m1,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17 01:23:37.401,2019-09-17 01:23:37.384,uuid:99349817-83d2-48e4-b10b-22618fabe91b,10.57 am,-69.9149983000,18.4649742000,0.0000000000,61.5000000000,Salón de kárate,1a5,0,1a5,2019-09-15 00:00:00,NULL,NULL,Helechos,uuid:99349817-83d2-48e4-b10b-22618fabe91b,eagv
p1m2,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17 01:23:37.779,2019-09-17 01:23:37.775,uuid:97dc8d29-2377-452e-9d6b-b2511798566d,11.16 am,-69.9157698000,18.4649540000,0.0000000000,44.1739997864,Cerca de una pared,0,0,1a5,2019-09-15 00:00:00,NULL,NULL,Palmas,uuid:97dc8d29-2377-452e-9d6b-b2511798566d,eagv
P1m3,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17 01:23:39.177,2019-09-17 01:23:39.169,uuid:0b77bc0c-b77f-4937-962b-67ba37721453,11.31 am,-69.9156007000,18.4649040000,0.0000000000,40.5000000000,Estacionamientos del Tony Barreiro,6a9,0,6a9,2019-09-15 00:00:00,NULL,NULL,NULL,uuid:0b77bc0c-b77f-4937-962b-67ba37721453,eagv
P78m1,p78,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18 15:57:09.514,2019-09-18 15:57:09.479,uuid:0253470d-d5b4-4686-96e9-d569890747fa,10.33 am,-69.9158660000,18.4612369000,0.0000000000,80.0000000000,Área de medicina,0,0,1a5,2019-09-18 00:00:00,NULL,Localizado en el tronco de un árbol,Flamboyan,uuid:0253470d-d5b4-4686-96e9-d569890747fa,"eagv,dgb"
p10m1,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18 15:57:09.888,2019-09-18 15:57:09.874,uuid:37a049b5-1be9-4fc0-995b-e5d241464aa3,11.25 am,-69.9135403000,18.4633491000,0.0000000000,87.3779983521,Área del play,10omas,0,1a5,2019-09-18 00:00:00,NULL,NULL,NULL,uuid:37a049b5-1be9-4fc0-995b-e5d241464aa3,"eagv,dgb"
P10M2,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18 15:57:10.267,2019-09-18 15:57:10.257,uuid:3e14995d-c44e-4a5d-8170-2613cdd81ee3,11.35 am,-69.9136633000,18.4635850000,0.0000000000,193.5000000000,Área del play,1a5,0,1a5,2019-09-18 00:00:00,NULL,NULL,NULL,uuid:3e14995d-c44e-4a5d-8170-2613cdd81ee3,"dgb,eagv"
P10M3,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18 15:57:10.808,2019-09-18 15:57:10.798,uuid:c88fa162-7596-44e5-99d9-5223ab534485,11.40 am,-69.9135614000,18.4634018000,0.0000000000,42.0000000000,Área del play,1a5,6a9,1a5,2019-09-18 00:00:00,NULL,NULL,NULL,uuid:c88fa162-7596-44e5-99d9-5223ab534485,"dgb,eagv"
P27m1,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18 15:57:11.208,2019-09-18 15:57:11.204,uuid:2db24de0-be4f-44f3-b3b4-ad90ccc3e371,11.45 am,-69.9143907800,18.4638291232,0.0000000000,0.0000000000,NULL,1a5,0,0,2019-09-18 00:00:00,NULL,NULL,Hierbas,uuid:2db24de0-be4f-44f3-b3b4-ad90ccc3e371,"dgb,eagv"
P27m2,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18 15:57:12.244,2019-09-18 15:57:12.233,uuid:10f22108-356b-4b1a-9709-03ca0950b48f,11.59 am,-69.9149627611,18.4637381702,0.0000000000,0.0000000000,Área del play,0,0,6a9,2019-09-18 00:00:00,NULL,NULL,Cycas circinalis,uuid:10f22108-356b-4b1a-9709-03ca0950b48f,"dgb,eagv"
P25M1,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18 16:26:21.335,2019-09-18 16:26:21.329,uuid:5da99b33-91c6-4011-b404-da09cc194233,12.10 pm,-69.9153500050,18.4635384551,0.0000000000,0.0000000000,Área del play,10omas,0,10omas,2019-09-18 00:00:00,NULL,NULL,Hierbas,uuid:5da99b33-91c6-4011-b404-da09cc194233,"dgb,eagv"
P25M3,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18 16:26:21.634,2019-09-18 16:26:21.629,uuid:cb1cf13b-5c4e-4069-8263-24673c61d344,12.25 pm,-69.9152521044,18.4635130137,0.0000000000,0.0000000000,Área play,0,0,1a5,2019-09-18 00:00:00,NULL,NULL,Hierbas,uuid:cb1cf13b-5c4e-4069-8263-24673c61d344,"dgb,eagv"
P163M1,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 21:15:09.327,2019-09-26 21:15:09.322,uuid:224a1b37-5bf1-4fbf-b0f5-82f5a465ba5e,2.29 pm,-69.9176476000,18.4587693000,0.0000000000,78.9049987793,Calle próximo a la facultad de ciencias,6a9,0,1a5,2019-09-26 00:00:00,NULL,NULL,Árbol de Nin,uuid:224a1b37-5bf1-4fbf-b0f5-82f5a465ba5e,"dgb,eagv"
P163M2,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 21:15:09.655,2019-09-26 21:15:09.643,uuid:125edd4f-7b7e-4c1f-9f8a-e881834b4b68,2.54 pm,-69.9178907275,18.4593917694,0.0000000000,0.0000000000,Calle frente a Banreservas del economato,6a9,0,1a5,2019-09-26 00:00:00,NULL,NULL,NULL,uuid:125edd4f-7b7e-4c1f-9f8a-e881834b4b68,"dgb,eagv"
P148M1,p148,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 21:15:09.938,2019-09-26 21:15:09.926,uuid:4229452e-ee03-4d83-9862-57ad81211a13,3.23 pm,-69.9180201441,18.4597851666,0.0000000000,0.0000000000,Parque de la biblioteca,1a5,0,1a5,2019-09-26 00:00:00,NULL,NULL,Árbol de Nin,uuid:4229452e-ee03-4d83-9862-57ad81211a13,"eagv,dgb"
P147M1,p147,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 21:15:10.422,2019-09-26 21:15:10.416,uuid:6927629f-47c8-45d2-93bd-1f85015514c8,4.00 pm,-69.9185046181,18.4604956327,0.0000000000,0.0000000000,NULL,no_aplica,0,1a5,2019-09-26 00:00:00,NULL,NULL,NULL,uuid:6927629f-47c8-45d2-93bd-1f85015514c8,"dgb,eagv"
P147M2,p147,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 21:15:10.748,2019-09-26 21:15:10.733,uuid:47b14565-78ae-4430-b522-f93172a765a1,3.40 pm,-69.9185277522,18.4604714629,0.0000000000,0.0000000000,NULL,1a5,0,1a5,2019-09-26 00:00:00,NULL,NULL,NULL,uuid:47b14565-78ae-4430-b522-f93172a765a1,"dgb,eagv"
P70M1,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 21:15:11.039,2019-09-26 21:15:11.034,uuid:71e3c926-0c03-4291-9a93-5660037cfce7,4.21 pm,-69.9195921000,18.4616678000,0.0000000000,45.0000000000,Calle frente al edificio de economía,6a9,0,1a5,2019-09-26 00:00:00,NULL,NULL,NULL,uuid:71e3c926-0c03-4291-9a93-5660037cfce7,"dgb,eagv"
P70M2,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 21:15:11.621,2019-09-26 21:15:11.613,uuid:2f71d275-4bcf-487c-8323-bb9fa7cc91e2,4.31 pm,-69.9193609133,18.4619788881,0.0000000000,0.0000000000,NULL,6a9,0,1a5,2019-09-26 00:00:00,NULL,NULL,Palma real,uuid:2f71d275-4bcf-487c-8323-bb9fa7cc91e2,"dgb,eagv"
P70M3,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26 21:15:11.89,2019-09-26 21:15:11.88,uuid:6af3767d-b39e-4d2f-a8ab-5a025fdc422d,4.46 pm,-69.9192881584,18.4618863440,0.0000000000,0.0000000000,Jardín en la calle frente al edificio de economía,6a9,no_aplica,1a5,2019-09-26 00:00:00,NULL,NULL,Palmas,NULL,NULL
